target,source,Coste,player
Coventry City,Everton,"7,00 mill. €",Ellis SimmsE. Simms
St-Étienne,Everton,"2,00 mill. €",Niels NkounkouN. Nkounkou
Sheff Utd,Everton,Libre,Tom DaviesT. Davies
QPR,Everton,Libre,Asmir BegovicA. Begovic
Fiorentina,Everton,Libre,Yerry MinaY. Mina
Sheff Utd,Everton,Cesión,Mason HolgateM. Holgate
Southampton,Everton,Cesión,Mason HolgateM. Holgate
Brentford,Everton,Cesión,Neal MaupayN. Maupay
Sin equipo,Everton,-,Andros TownsendA. Townsend
Sin equipo,Everton,-,Jean-Philippe GbaminJ. Gbamin
Sporting Lisboa,Everton,Fin de cesión 30/06/2023,Rúben VinagreR. Vinagre
Wolverhampton,Everton,Fin de cesión 30/06/2023,Conor CoadyC. Coady
Fulham,Everton,"25,70 mill. €",Alex IwobiA. Iwobi
Fulham,Ajax,"22,50 mill. €",Calvin BasseyC. Bassey
Fulham,Leicester City,"13,00 mill. €",Timothy CastagneT. Castagne
Fulham,Wolverhampton,"6,40 mill. €",Raúl JiménezR. Jiménez
Fulham,Chelsea,"Coste de cesión: 4,70 mill. €",Armando BrojaA. Broja
Fulham,Swansea City,870 mil €,Steven BendaS. Benda
Fulham,Wolverhampton,Libre,Adama TraoréA. Traoré
Fulham,AC Milan,Cesión,Fodé Ballo-TouréF. Ballo-Touré
Fulham,Fulham U21,-,Luke HarrisL. Harris
Fulham,Fulham U21,-,Jay StansfieldJ. Stansfield
