,target,source,Coste,player
16,VfB Stuttgart,Wisla Cracovia,Fin de préstamo 30/06/2023,Momo CisséM. Cissé
17,VfB Stuttgart,San Luis,Fin de préstamo 31/12/2023,Mateo KlimowiczM. Klimowicz
0,West Ham,VfB Stuttgart,"20,00 mill. €",Konstantinos MavropanosK. Mavropanos
1,Liverpool,VfB Stuttgart,"20,00 mill. €",Wataru EndoW. Endo
2,Ajax,VfB Stuttgart,"8,00 mill. €",Borna SosaB. Sosa
3,SC Friburgo,VfB Stuttgart,"1,50 mill. €",Florian MüllerF. Müller
4,Central Coast,VfB Stuttgart,200 mil €,Alou KuolAlou Kuol
5,Aris Salónica,VfB Stuttgart,Libre,Antonis AidonisA. Aidonis
6,Reading,VfB Stuttgart,Libre,Clinton MolaC. Mola
7,Hansa Rostock,VfB Stuttgart,Préstamo,Juan-José PereaJ. Perea
8,Heracles Almelo,VfB Stuttgart,Préstamo,Mohamed SankohM. Sankoh
9,Darmstadt 98,VfB Stuttgart,Préstamo,Luca PfeifferL. Pfeiffer
10,Hatayspor,VfB Stuttgart,Préstamo,Ömer BeyazÖ. Beyaz
11,SV Elversberg,VfB Stuttgart,Préstamo,Wahid FaghirW. Faghir
12,Darmstadt 98,VfB Stuttgart,Préstamo,Matej MaglicaM. Maglica
13,Sin equipo,VfB Stuttgart,-,Tanguy CoulibalyT. Coulibaly
14,Stuttgart II,VfB Stuttgart,-,Momo CisséM. Cissé
15,Rennes,VfB Stuttgart,Fin de préstamo 30/06/2023,Serhou GuirassyS. Guirassy
16,Sporting Lisboa,VfB Stuttgart,Fin de préstamo 30/06/2023,Tiago TomásT. Tomás
0,Heidenheim,FC Schalke 04,"1,80 mill. €",Marvin PieringerM. Pieringer
1,Heidenheim,VfL Wolfsburgo,500 mil €,Tim SierslebenT. Siersleben
2,Heidenheim,Jahn Regensburg,Libre,Benedikt GimberB. Gimber
3,Heidenheim,VfL Osnabrück,Libre,Omar-Haktab TraoréO. Traoré
4,Heidenheim,Austria Viena,Libre,Nikola DovedanN. Dovedan
5,Heidenheim,Werder Bremen,Préstamo,Eren DinkciE. Dinkci
6,Heidenheim,Heidenheim U19,-,Luka JanesL. Janes
7,Heidenheim,Heidenheim U19,-,Seedy JarjuS. Jarju
8,Heidenheim,Heidenheim U19,-,Frank FellerF. Feller
0,Stuttg. Kickers,Heidenheim,Libre,Melvin RamusovicM. Ramusovic
1,Karlsruher SC,Heidenheim,Libre,Dzenis BurnicD. Burnic
2,Arm. Bielefeld,Heidenheim,Libre,Merveille BiankadiM. Biankadi
3,Lok Leipzig,Heidenheim,Libre,Mert ArslanM. Arslan
4,E. Braunschweig,Heidenheim,Libre,Marvin RittmüllerM. Rittmüller
5,Jahn Regensburg,Heidenheim,Libre,Andreas GeiplA. Geipl
6,MSV Duisburg,Heidenheim,Préstamo,Tim KötherT. Köther
7,VfL Wolfsburgo,Heidenheim,Fin de préstamo 30/06/2023,Tim SierslebenT. Siersleben
0,Darmstadt 98,F. Düsseldorf,"2,00 mill. €",Christoph KlarerC. Klarer
1,Darmstadt 98,Stade Reims,"1,80 mill. €",Fraser HornbyF. Hornby
2,Darmstadt 98,1.FC Magdeburg,Libre,Andreas MüllerA. Müller
3,Darmstadt 98,1.FC Nürnberg,Libre,Fabian NürnbergerF. Nürnberger
4,Darmstadt 98,VfB Stuttgart,Préstamo,Matej MaglicaM. Maglica
5,Darmstadt 98,VfB Stuttgart,Préstamo,Luca PfeifferL. Pfeiffer
6,Darmstadt 98,VfL Wolfsburgo,Préstamo,Bartol FranjicB. Franjic
7,Darmstadt 98,Unión Berlín,Préstamo,Tim SkarkeT. Skarke
8,Darmstadt 98,Würzb. Kickers,Fin de préstamo 30/06/2023,André LeipoldA. Leipold
9,Darmstadt 98,OFI Creta U19,Fin de préstamo 30/06/2023,Antonis MakatounakisA. Makatounakis
10,Darmstadt 98,RW Koblenz,Fin de préstamo 30/06/2023,John Peter SesayJ. Sesay
11,Darmstadt 98,FCA Walldorf,Fin de préstamo 30/06/2023,Henry Jon CrosthwaiteH. Crosthwaite
12,Darmstadt 98,Waldh. Mannheim,Fin de préstamo 30/06/2023,Morten BehrensM. Behrens
13,Darmstadt 98,LASK,Fin de préstamo 30/06/2023,Nemanja CelicN. Celic
0,FC Augsburgo,Darmstadt 98,"2,20 mill. €",Phillip TietzP. Tietz
1,AO Giouchtas,Darmstadt 98,Libre,Antonis MakatounakisA. Makatounakis
2,Wehen Wiesbaden,Darmstadt 98,Libre,Keanan BennettsK. Bennetts
3,FC Augsburgo,Darmstadt 98,Libre,Patric PfeifferP. Pfeiffer
4,SV Sandhausen,Darmstadt 98,Libre,Yassin Ben BallaY. Ben Balla
5,Wormatia Worms,Darmstadt 98,Libre,Philipp SonnP. Sonn
6,Titus Petange,Darmstadt 98,Préstamo,John Peter SesayJ. Sesay
7,SV Ried,Darmstadt 98,?,Nemanja CelicN. Celic
8,SV Lafnitz,Darmstadt 98,?,André LeipoldA. Leipold
9,Hallescher FC,Darmstadt 98,Préstamo,Henry Jon CrosthwaiteH. Crosthwaite
10,Retirado,Darmstadt 98,-,Steve KrollS. Kroll
11,Torino,Darmstadt 98,Fin de préstamo 30/06/2023,Magnus WarmingM. Warming
0,Nápoles,Eintracht,"30,00 mill. €",Jesper LindstrømJ. Lindstrøm
1,Nápoles,Sassuolo,"26,00 mill. €",Giacomo RaspadoriG. Raspadori
2,Nápoles,Stade Reims,"12,00 mill. €",Jens CajusteJ. Cajuste
3,Nápoles,Hellas Verona,"12,00 mill. €",Giovanni SimeoneG. Simeone
4,Nápoles,RB Bragantino,"10,00 mill. €",NatanNatan
5,Nápoles,Bari,"7,00 mill. €",Walid CheddiraW. Cheddira
6,Nápoles,Bari,"7,00 mill. €",Elia CaprileE. Caprile
7,Nápoles,Napoli U19,-,Nosa Edward ObaretinN. Obaretin
0,Bayern Múnich,Nápoles,"50,00 mill. €",Min-jae KimM. Kim
1,PSV Eindhoven,Nápoles,"15,00 mill. €",Hirving LozanoH. Lozano
2,Monza,Nápoles,"10,00 mill. €",Andrea PetagnaA. Petagna
3,FC Empoli,Nápoles,"2,50 mill. €",Sebastiano LupertoS. Luperto
4,Giugliano,Nápoles,Libre,Valerio LabriolaV. Labriola
5,LR Vicenza,Nápoles,Libre,Filippo CostaF. Costa
6,Perugia,Nápoles,Préstamo,Francesco MezzoniF. Mezzoni
7,Ancona,Nápoles,Préstamo,Antonio CioffiA. Cioffi
8,Ancona,Nápoles,Préstamo,Coli SacoColi Saco
9,Juve Stabia,Nápoles,?,Leonardo CandelloneL. Candellone
10,Hesperange,Nápoles,?,Karim ZedadkaK. Zedadka
11,Frosinone,Nápoles,Préstamo,Walid CheddiraW. Cheddira
12,Trento,Nápoles,Préstamo,Nosa Edward ObaretinN. Obaretin
13,Hellas Verona,Nápoles,Préstamo,Michael FolorunshoM. Folorunsho
14,Portici,Nápoles,Préstamo,Davide CostanzoD. Costanzo
15,Monopoli,Nápoles,Préstamo,Giuseppe D'AgostinoG. D'Agostino
16,Catanzaro,Nápoles,Préstamo,Giuseppe AmbrosinoG. Ambrosino
17,FC Empoli,Nápoles,Préstamo,Elia CaprileE. Caprile
18,Reggiana,Nápoles,Préstamo,Antonio VergaraA. Vergara
19,Avellino,Nápoles,Préstamo,Lorenzo SgarbiL. Sgarbi
20,Sin equipo,Nápoles,-,Davide MarfellaD. Marfella
21,Hellas Verona,Nápoles,Fin de préstamo 30/06/2023,Giovanni SimeoneG. Simeone
22,Sampdoria,Nápoles,Fin de préstamo 30/06/2023,Bartosz BereszynskiB. Bereszynski
23,Sassuolo,Nápoles,Fin de préstamo 30/06/2023,Giacomo RaspadoriG. Raspadori
24,Tottenham,Nápoles,Fin de préstamo 30/06/2023,Tanguy NdombéléT. Ndombélé
0,Lazio,New York City,"15,00 mill. €",Taty CastellanosT. Castellanos
1,Lazio,Midtjylland,"12,00 mill. €",Gustav IsaksenG. Isaksen
2,Lazio,Hellas Verona,"7,96 mill. €",Matteo CancellieriM. Cancellieri
3,Lazio,OFI Creta,"1,30 mill. €",Christos MandasC. Mandas
4,Lazio,Celaya,"1,00 mill. €",Diego GonzálezD. González
5,Lazio,Eintracht,Libre,Daichi KamadaD. Kamada
6,Lazio,Juventus,Préstamo,Luca PellegriniL. Pellegrini
7,Lazio,Juventus,Préstamo,Nicolò RovellaN. Rovella
8,Lazio,Salernitana,Préstamo,Luigi SepeL. Sepe
9,Lazio,Marsella,Préstamo,Mattéo GuendouziM. Guendouzi
0,Al-Hilal,Lazio,"40,00 mill. €",Sergej Milinkovic-SavicS. Milinkovic-Savic
1,Inter,Lazio,"3,50 mill. €",Francesco AcerbiF. Acerbi
2,Cádiz CF,Lazio,"2,50 mill. €",Gonzalo EscalanteG. Escalante
3,FC Empoli,Lazio,"Coste de préstamo: 1,00 mill. €",Matteo CancellieriM. Cancellieri
4,Monza,Lazio,Coste de préstamo: 500 mil €,Jean-Daniel Akpa AkproJ. Akpa Akpro
5,UD Almería,Lazio,Coste de préstamo: 500 mil €,Luís MaximianoL. Maximiano
6,PAOK,Lazio,Coste de préstamo: 300 mil €,Marcos AntônioMarcos Antônio
7,FC Cartagena,Lazio,Libre,JonyJony
8,AC Milan,Lazio,Libre,Luka RomeroL. Romero
9,Fermana,Lazio,Préstamo,Alessio FurlanettoA. Furlanetto
10,Potenza,Lazio,?,Nicolò ArminiN. Armini
11,Foggia,Lazio,Préstamo,Andrea MarinoA. Marino
12,Real Valladolid,Lazio,Préstamo,Raúl MoroR. Moro
13,Sin equipo,Lazio,-,Riza DurmisiR. Durmisi
14,Retirado,Lazio,-,Stefan RaduS. Radu
15,SPAL,Lazio,Préstamo,Marco BertiniM. Bertini
16,Perugia,Lazio,Préstamo,Marius AdamonisM. Adamonis
17,Hellas Verona,Lazio,Fin de préstamo 30/06/2023,Matteo CancellieriM. Cancellieri
18,Juventus,Lazio,Fin de préstamo 30/06/2023,Luca PellegriniL. Pellegrini
0,Inter,Bayern Múnich,"30,00 mill. €",Benjamin PavardB. Pavard
1,Inter,FC Empoli,"10,00 mill. €",Kristjan AsllaniK. Asllani
2,Inter,Aarhus GF,"7,00 mill. €",Yann BisseckY. Bisseck
3,Inter,Bayern Múnich,"6,75 mill. €",Yann SommerY. Sommer
4,Inter,Sassuolo,"Coste de préstamo: 6,00 mill. €",Davide FrattesiD. Frattesi
5,Inter,Lazio,"3,50 mill. €",Francesco AcerbiF. Acerbi
6,Inter,Marsella,Libre,Alexis SánchezA. Sánchez
7,Inter,Ajax,Libre,Davy KlaassenD. Klaassen
8,Inter,AS Gubbio,Libre,Raffaele Di GennaroR. Di Gennaro
9,Inter,Bor. M'gladbach,Libre,Marcus ThuramM. Thuram
10,Inter,Juventus,Libre,Juan CuadradoJ. Cuadrado
11,Inter,Bolonia,Préstamo,Marko ArnautovicM. Arnautovic
12,Inter,Monza,Préstamo,Carlos AugustoCarlos Augusto
13,Inter,Sampdoria,Préstamo,Emil AuderoE. Audero
0,Manchester Utd.,Inter,"52,50 mill. €",André OnanaA. Onana
1,Sassuolo,Inter,"20,00 mill. €",Andrea PinamontiA. Pinamonti
2,Al-Nassr,Inter,"18,00 mill. €",Marcelo BrozovicM. Brozovic
3,Unión Berlín,Inter,"13,00 mill. €",Robin GosensR. Gosens
4,Sassuolo,Inter,"6,00 mill. €",Samuele MulattieriS. Mulattieri
5,Salernitana,Inter,"5,00 mill. €",Lorenzo PirolaL. Pirola
6,Bolonia,Inter,"5,00 mill. €",Giovanni FabbianG. Fabbian
7,River Plate,Inter,"4,50 mill. €",Facundo ColidioF. Colidio
8,Torino,Inter,"4,00 mill. €",Valentino LazaroV. Lazaro
9,BSC Young Boys,Inter,"2,00 mill. €",Darian MalesD. Males
10,Marsella,Inter,"Coste de préstamo: 2,00 mill. €",Joaquín CorreaJ. Correa
11,1.FC Magdeburg,Inter,250 mil €,Andi HotiAndi Hoti
12,Monza,Inter,Libre,Danilo D'AmbrosioD. D'Ambrosio
13,Monopoli,Inter,Libre,Lorenzo PeschetolaL. Peschetola
14,Pescara,Inter,Libre,Niccolò SquizzatoN. Squizzato
15,Monza,Inter,Libre,Roberto GagliardiniR. Gagliardini
16,Fenerbahce,Inter,Libre,Edin DzekoE. Dzeko
17,PSG,Inter,Libre,Milan SkriniarM. Skriniar
18,Fiorenzuola,Inter,Préstamo,Alessandro SilvestroA. Silvestro
19,Torres,Inter,Préstamo,Francesco NunziatiniF. Nunziatini
20,Fermana,Inter,Préstamo,Jacopo GianelliJ. Gianelli
21,FC Eindhoven,Inter,?,Tibo PersynT. Persyn
22,Foggia,Inter,?,Franco VezzoniF. Vezzoni
23,Cittadella,Inter,?,Edoardo SottiniE. Sottini
24,Catanzaro,Inter,?,Marco PompettiM. Pompetti
25,CD Eldense,Inter,Préstamo,Eddie SalcedoE. Salcedo
26,Sampdoria,Inter,Préstamo,Sebastiano EspositoS. Esposito
27,Sampdoria,Inter,Préstamo,Filip StankovicF. Stankovic
28,Cosenza,Inter,Préstamo,Alessandro FontanarosaA. Fontanarosa
29,Standard Lieja,Inter,Préstamo,Zinho VanheusdenZ. Vanheusden
30,Ternana,Inter,Préstamo,Gabriel BrazãoG. Brazão
31,Bournemouth,Inter,Préstamo,Ionut RaduI. Radu
32,Pro Patria,Inter,Préstamo,William RovidaW. Rovida
33,FC St. Gallen,Inter,Préstamo,Mattia ZanottiM. Zanotti
34,Cagliari,Inter,Préstamo,Gaetano OristanioG. Oristanio
35,Pro Patria,Inter,Préstamo,Andrea MorettiA. Moretti
36,Monza,Inter,Préstamo,Valentín CarboniV. Carboni
37,Stade Brestois,Inter,Préstamo,Martín SatrianoM. Satriano
38,Sin equipo,Inter,-,Alex CordazA. Cordaz
39,Sin equipo,Inter,-,Samir HandanovicS. Handanovic
40,Sin equipo,Inter,-,Fabrizio BagheriaF. Bagheria
41,Sin equipo,Inter,-,DalbertDalbert
42,Chelsea,Inter,Fin de préstamo 30/06/2023,Romelu LukakuR. Lukaku
43,Lazio,Inter,Fin de préstamo 30/06/2023,Francesco AcerbiF. Acerbi
44,Cagliari,Inter,Fin de préstamo 30/06/2023,Raoul BellanovaR. Bellanova
45,FC Empoli,Inter,Fin de préstamo 30/06/2023,Kristjan AsllaniK. Asllani
0,AC Milan,Valencia CF,"20,00 mill. €",Yunus MusahY. Musah
1,AC Milan,Villarreal CF,"20,00 mill. €",Samuel ChukwuezeS. Chukwueze
2,AC Milan,Chelsea,"20,00 mill. €",Christian PulisicC. Pulisic
3,AC Milan,AZ Alkmaar,"19,00 mill. €",Tijjani ReijndersT. Reijnders
4,AC Milan,Chelsea,"16,00 mill. €",Ruben Loftus-CheekR. Loftus-Cheek
5,AC Milan,RB Salzburgo,"14,00 mill. €",Noah OkaforN. Okafor
6,AC Milan,Platense,"3,50 mill. €",Marco PellegrinoM. Pellegrino
7,AC Milan,Lazio,Libre,Luka RomeroL. Romero
8,AC Milan,Atalanta,Libre,Marco SportielloM. Sportiello
9,AC Milan,Fiorentina,Libre,Luka JovicL. Jovic
10,AC Milan,Milan U19,-,Chaka TraorèC. Traorè
11,AC Milan,Milan U19,-,Lapo NavaLapo Nava
0,Newcastle Utd.,AC Milan,"64,00 mill. €",Sandro TonaliS. Tonali
1,Atalanta,AC Milan,"Coste de préstamo: 3,00 mill. €",Charles De KetelaereC. De Ketelaere
2,Génova,AC Milan,"Coste de préstamo: 1,50 mill. €",Junior MessiasJ. Messias
3,Bolonia,AC Milan,Coste de préstamo: 500 mil €,Alexis SaelemaekersA. Saelemaekers
4,Cremonese,AC Milan,Libre,Andreas JungdalA. Jungdal
5,Besiktas,AC Milan,Libre,Ante RebicA. Rebic
6,SK Lisen,AC Milan,Libre,Antonio MionicA. Mionic
7,Olbia,AC Milan,Libre,Gabriele BellodiG. Bellodi
8,Abha,AC Milan,Libre,Ciprian TatarusanuC. Tatarusanu
9,Frosinone,AC Milan,?,Marco BrescianiniM. Brescianini
10,Fortuna Sittard,AC Milan,Préstamo,Marko LazeticM. Lazetic
11,Monza,AC Milan,Préstamo,Lorenzo ColomboL. Colombo
12,Nottm Forest,AC Milan,Préstamo,Divock OrigiD. Origi
13,Fulham,AC Milan,Préstamo,Fodé Ballo-TouréF. Ballo-Touré
14,Sheff Wed,AC Milan,Préstamo,Devis VásquezD. Vásquez
15,Villarreal CF,AC Milan,Préstamo,Matteo GabbiaM. Gabbia
16,Bari,AC Milan,Préstamo,Marco NastiM. Nasti
17,FC Empoli,AC Milan,Préstamo,Daniel MaldiniD. Maldini
18,Retirado,AC Milan,-,Zlatan IbrahimovićZ. Ibrahimović
19,FC Barcelona,AC Milan,Fin de préstamo 30/06/2023,Sergiño DestS. Dest
20,VfL Wolfsburgo,AC Milan,Fin de préstamo 30/06/2023,Aster VranckxA. Vranckx
21,Chelsea,AC Milan,Fin de préstamo 30/06/2023,Tiemoué BakayokoT. Bakayoko
22,Real Madrid,AC Milan,Fin de préstamo 30/06/2023,Brahim DíazB. Díaz
0,Atalanta,UD Almería,"28,00 mill. €",El Bilal TouréE. Touré
1,Atalanta,West Ham,"25,00 mill. €",Gianluca ScamaccaG. Scamacca
2,Atalanta,B. Leverkusen,"10,00 mill. €",Mitchel BakkerM. Bakker
3,Atalanta,AC Milan,"Coste de préstamo: 3,00 mill. €",Charles De KetelaereC. De Ketelaere
4,Atalanta,Spezia,"Coste de préstamo: 2,50 mill. €",Emil HolmEmil Holm
5,Atalanta,Marsella,Libre,Sead KolasinacS. Kolasinac
6,Atalanta,Torino,Libre,Michel AdopoM. Adopo
0,Manchester Utd.,Atalanta,"75,00 mill. €",Rasmus HøjlundR. Højlund
1,Al-Ahli,Atalanta,"20,00 mill. €",Merih DemiralM. Demiral
2,Niza,Atalanta,"18,00 mill. €",Jérémie BogaJ. Boga
3,Monza,Atalanta,"12,00 mill. €",Matteo PessinaM. Pessina
4,VfL Wolfsburgo,Atalanta,"12,00 mill. €",Joakim MaehleJ. Maehle
5,Marsella,Atalanta,"10,00 mill. €",Ruslan MalinovskyiR. Malinovskyi
6,Middlesbrough,Atalanta,"5,00 mill. €",Emmanuel Latte LathE. Latte Lath
7,Rangers FC,Atalanta,"3,50 mill. €",Sam LammersS. Lammers
8,SPAL,Atalanta,Libre,Marco CarraroM. Carraro
9,Carrarese,Atalanta,Libre,Stefano MazziniS. Mazzini
10,AC Milan,Atalanta,Libre,Marco SportielloM. Sportiello
11,Cosenza,Atalanta,Préstamo,Simone MazzocchiS. Mazzocchi
12,Cosenza,Atalanta,Préstamo,Federico ZucconF. Zuccon
13,Mantova,Atalanta,Préstamo,Tommaso CavalliT. Cavalli
14,Spezia,Atalanta,?,Salvatore EliaS. Elia
15,Pro Patria,Atalanta,?,Guillaume RenaultG. Renault
16,Reggiana,Atalanta,?,Luca VidoLuca Vido
17,Hradec Kralove,Atalanta,?,David HeidenreichD. Heidenreich
18,Monza,Atalanta,Préstamo,Giorgio CittadiniG. Cittadini
19,Torino,Atalanta,Préstamo,Duván ZapataD. Zapata
20,Frosinone,Atalanta,Préstamo,Caleb OkoliC. Okoli
21,BSC Young Boys,Atalanta,Préstamo,Ebrima ColleyE. Colley
22,Torino,Atalanta,Préstamo,Brandon SoppyB. Soppy
23,Lecce,Atalanta,Préstamo,Roberto PiccoliR. Piccoli
24,Catanzaro,Atalanta,Préstamo,Andrea OliveriA. Oliveri
25,Sampdoria,Atalanta,Préstamo,Simone PanadaS. Panada
26,Atalanta U23,Atalanta,-,Lukas VorlickyL. Vorlicky
27,Sin equipo,Atalanta,-,Khadim NdiayeK. Ndiaye
28,Atalanta U23,Atalanta,-,Davide GhislandiD. Ghislandi
29,Atalanta U23,Atalanta,-,Alessandro MallamoA. Mallamo
30,Sin equipo,Atalanta,-,Simone MuratoreS. Muratore
31,FC Empoli,Atalanta,Préstamo,Viktor KovalenkoV. Kovalenko
32,Ascoli,Atalanta,Préstamo,Erdis KrajaE. Kraja
0,AS Roma,Chelsea,"Coste de préstamo: 5,80 mill. €",Romelu LukakuR. Lukaku
1,AS Roma,PSG,"2,50 mill. €",Leandro ParedesL. Paredes
2,AS Roma,PSG,"Coste de préstamo: 1,00 mill. €",Renato SanchesR. Sanches
3,AS Roma,Eintracht,Libre,Evan NdickaE. Ndicka
4,AS Roma,Lyon,Libre,Houssem AouarH. Aouar
5,AS Roma,Leeds,Préstamo,Rasmus KristensenR. Kristensen
6,AS Roma,B. Leverkusen,Préstamo,Sardar AzmounS. Azmoun
7,AS Roma,Roma J19,-,Riccardo PaganoR. Pagano
0,Al-Ahli,AS Roma,"30,00 mill. €",Roger IbañezRoger Ibañez
1,Bournemouth,AS Roma,"11,20 mill. €",Justin KluivertJ. Kluivert
2,Ajax,AS Roma,"7,50 mill. €",Benjamin TahirovicB. Tahirovic
3,Sassuolo,AS Roma,"7,50 mill. €",Cristian VolpatoC. Volpato
4,RC Celta,AS Roma,"5,20 mill. €",Carles PérezC. Pérez
5,KVC Westerlo,AS Roma,"3,50 mill. €",Bryan ReynoldsB. Reynolds
6,Sassuolo,AS Roma,"2,50 mill. €",Filippo MissoriF. Missori
7,Rennes,AS Roma,"2,50 mill. €",Nemanja MaticN. Matic
8,Granada CF,AS Roma,"1,80 mill. €",Gonzalo VillarG. Villar
9,Olympiakos,AS Roma,"Coste de préstamo: 1,50 mill. €",Ola SolbakkenO. Solbakken
10,Cagliari,AS Roma,"Coste de préstamo: 1,00 mill. €",Eldor ShomurodovE. Shomurodov
11,TSV Hartberg,AS Roma,300 mil €,Ruben ProvidenceR. Providence
12,Monterosi,AS Roma,Préstamo,Davide MastrantonioD. Mastrantonio
13,Sassuolo,AS Roma,Préstamo,Matías ViñaM. Viña
14,LASK,AS Roma,Préstamo,Ebrima DarboeE. Darboe
15,Sin equipo,AS Roma,-,Ante CoricA. Coric
16,Sin equipo,AS Roma,-,William BiandaW. Bianda
17,PSG,AS Roma,Fin de préstamo 30/06/2023,Georginio WijnaldumG. Wijnaldum
18,Olympiakos,AS Roma,Fin de préstamo 30/06/2023,Mady CamaraM. Camara
0,Juventus,Everton,"30,00 mill. €",Moise KeanM. Kean
1,Juventus,Sassuolo,"30,00 mill. €",Manuel LocatelliM. Locatelli
2,Juventus,Lille,"11,30 mill. €",Timothy WeahT. Weah
3,Juventus,Marsella,"6,30 mill. €",Arkadiusz MilikA. Milik
4,Juventus,V. Mestalla,"2,00 mill. €",Facundo GonzálezF. González
0,Tottenham,Juventus,"30,00 mill. €",Dejan KulusevskiD. Kulusevski
1,Mónaco,Juventus,"20,00 mill. €",Denis ZakariaD. Zakaria
2,Génova,Juventus,"5,50 mill. €",Radu DragusinR. Dragusin
3,Fiorentina,Juventus,"Coste de préstamo: 2,00 mill. €",Arthur MeloArthur Melo
4,FC Empoli,Juventus,Coste de préstamo: 500 mil €,Filippo RanocchiaF. Ranocchia
5,Inter,Juventus,Libre,Juan CuadradoJ. Cuadrado
6,Unión Berlín,Juventus,Libre,Leonardo BonucciL. Bonucci
7,Benfica,Juventus,Libre,Ángel Di MaríaÁ. Di María
8,Lazio,Juventus,Préstamo,Nicolò RovellaN. Rovella
9,Lazio,Juventus,Préstamo,Luca PellegriniL. Pellegrini
10,Génova,Juventus,Préstamo,Koni De WinterK. De Winter
11,HNK Rijeka,Juventus,?,Marko PjacaM. Pjaca
12,Udinese,Juventus,Préstamo,Marley AkéM. Aké
13,Monza,Juventus,Préstamo,Stefano GoriS. Gori
14,Frosinone,Juventus,Préstamo,Matías SouléM. Soulé
15,Frosinone,Juventus,Préstamo,Enzo BarrenecheaE. Barrenechea
16,Frosinone,Juventus,Préstamo,Kaio JorgeKaio Jorge
17,Sampdoria,Juventus,Préstamo,Facundo GonzálezF. González
18,Bari,Juventus,Préstamo,Gianluca FrabottaG. Frabotta
19,Sin equipo,Juventus,-,Mohamed IhattarenM. Ihattaren
20,Sassuolo,Juventus,Fin de préstamo 30/06/2023,Manuel LocatelliM. Locatelli
21,PSG,Juventus,Fin de préstamo 30/06/2023,Leandro ParedesL. Paredes
22,Marsella,Juventus,Fin de préstamo 30/06/2023,Arkadiusz MilikA. Milik
23,Everton,Juventus,Fin de préstamo 30/06/2023,Moise KeanM. Kean
0,Fiorentina,River Plate,"12,00 mill. €",Lucas BeltránL. Beltrán
1,Fiorentina,Spezia,"10,00 mill. €",M'Bala NzolaM. Nzola
2,Fiorentina,FC Empoli,"10,00 mill. €",Fabiano ParisiF. Parisi
3,Fiorentina,Hertha Berlín,"4,50 mill. €",Oliver ChristensenO. Christensen
4,Fiorentina,Rosario Central,"3,50 mill. €",Gino InfantinoG. Infantino
5,Fiorentina,Juventus,"Coste de préstamo: 2,00 mill. €",Arthur MeloArthur Melo
6,Fiorentina,Sassuolo,"Coste de préstamo: 1,00 mill. €",Maxime LópezM. López
7,Fiorentina,Everton,Libre,Yerry MinaY. Mina
8,Fiorentina,Fiorentina U19,-,Lorenzo AmatucciL. Amatucci
9,Fiorentina,Fiorentina U19,-,Michael KayodeM. Kayode
0,Benfica,Fiorentina,"20,00 mill. €",Arthur CabralA. Cabral
1,Brighton,Fiorentina,"17,00 mill. €",IgorIgor
2,Manchester Utd.,Fiorentina,"Coste de préstamo: 10,00 mill. €",Sofyan AmrabatS. Amrabat
3,RB Salzburgo,Fiorentina,"5,50 mill. €",Aleksa TerzicA. Terzic
4,Lecce,Fiorentina,"5,00 mill. €",Youssef MalehY. Maleh
5,Spezia,Fiorentina,"3,20 mill. €",Szymon ZurkowskiS. Zurkowski
6,Brøndby IF,Fiorentina,"3,00 mill. €",Jacob RasmussenJ. Rasmussen
7,Hellas Verona,Fiorentina,Libre,Riccardo SaponaraR. Saponara
8,Lecce,Fiorentina,Libre,Lorenzo VenutiL. Venuti
9,AC Milan,Fiorentina,Libre,Luka JovicL. Jovic
10,Monopoli,Fiorentina,Libre,Samuele SpallutoS. Spalluto
11,Cesena,Fiorentina,Préstamo,Edoardo PierozziE. Pierozzi
12,Ancona,Fiorentina,Préstamo,Eduard DutuE. Dutu
13,HNK Rijeka,Fiorentina,?,Toni FrukToni Fruk
14,Frosinone,Fiorentina,?,Michele CerofoliniM. Cerofolini
15,Avellino,Fiorentina,?,Gabriele GoriG. Gori
16,Spezia,Fiorentina,?,Giovanni CorradiniG. Corradini
17,Feralpisalò,Fiorentina,Préstamo,Gabriele FerrariniG. Ferrarini
18,Reggiana,Fiorentina,Préstamo,Alessandro BiancoA. Bianco
19,Sin equipo,Fiorentina,-,Salvatore SiriguS. Sirigu
20,Sin equipo,Fiorentina,-,Filippo FrisonF. Frison
21,Sin equipo,Fiorentina,-,Marco BenassiM. Benassi
22,Foggia,Fiorentina,Préstamo,Mattia FioriniM. Fiorini
23,Recanatese,Fiorentina,Préstamo,Destiny EgharevbaD. Egharevba
0,Bolonia,AZ Alkmaar,"11,00 mill. €",Jesper KarlssonJ. Karlsson
1,Bolonia,FC Basilea,"9,00 mill. €",Dan NdoyeDan Ndoye
2,Bolonia,AZ Alkmaar,"9,00 mill. €",Sam BeukemaS. Beukema
3,Bolonia,Hoffenheim,"5,00 mill. €",Stefan PoschS. Posch
4,Bolonia,Inter,"5,00 mill. €",Giovanni FabbianG. Fabbian
5,Bolonia,FC Basilea,"4,00 mill. €",Riccardo CalafioriR. Calafiori
6,Bolonia,Dinamo Moscú,"2,50 mill. €",Nikola MoroN. Moro
7,Bolonia,Union SG,"2,00 mill. €",Oussama El AzzouziO. El Azzouzi
8,Bolonia,Leicester City,"Coste de préstamo: 1,00 mill. €",Victor KristiansenV. Kristiansen
9,Bolonia,AC Milan,Coste de préstamo: 500 mil €,Alexis SaelemaekersA. Saelemaekers
10,Bolonia,Nottm Forest,Préstamo,Remo FreulerR. Freuler
11,Bolonia,Bologna U19,-,Tommaso CorazzaT. Corazza
